city,country,state
Acqui Terme,Italy,Piedmont
Goole,United Kingdom,East Riding of Yorkshire
Viadana,Italy,Lombardy
Parnamirim,Brazil,Pernambuco
Puerto Viejo,Costa Rica,Heredia
Cruz Grande,Mexico,Guerrero
Boromo,Burkina Faso,Boucle du Mouhoun
Perry,United States,Georgia
Dracevo,Macedonia,Skopje
Abrisham,Iran,Esfahan
Holzminden,Germany,Lower Saxony
Erragondapalem,India,Andhra Pradesh
Yeniseysk,Russia,Krasnoyarskiy Kray
Bideford,United Kingdom,Devon
Schopfheim,Germany,Baden-Wurttemberg
Rio Grande,Dominican Republic,
Kakdwip,India,West Bengal
Pamuru,India,Andhra Pradesh
Sukhasan,India,Bihar
Malaga,Colombia,Santander
Bichena,Ethiopia,amara
Kleppe,Norway,Rogaland
Celorico de Basto,Portugal,Braga
Virarajendrapet,India,Karnataka
Kety,Poland,Małopolskie
Bhikhi,India,Punjab
Otegen Batyr,Kazakhstan,
Saco,United States,Maine
Telgte,Germany,North Rhine-Westphalia
Qorasuv,Uzbekistan,Andijon
Giengen an der Brenz,Germany,Baden-Wurttemberg
Ampefy,Madagascar,Antananarivo
Bekatra Maromiandra,Madagascar,Fianarantsoa
Hazlet,United States,New Jersey
Kannod,India,Madhya Pradesh
Taquarana,Brazil,Alagoas
Pikalevo,Russia,Leningradskaya Oblast’
El Viso del Alcor,Spain,Andalusia
Marion Oaks,United States,Florida
Imouzzer Kandar,Morocco,Fès-Meknès
Bara Malehra,India,Madhya Pradesh
Whitpain,United States,Pennsylvania
Ivoti,Brazil,Rio Grande do Sul
Chipiona,Spain,Andalusia
Irlam,United Kingdom,Salford
Kotelnikovo,Russia,Volgogradskaya Oblast’
Bothell West,United States,Washington
Plainview,United States,Texas
Snina,Slovakia,Prešov
Sao Luis Gonzaga do Maranhao,Brazil,Maranhao
Ayaviri,Peru,Puno
Frontino,Colombia,Antioquia
Toprakkale,Turkey,Osmaniye
Antsampandrano,Madagascar,Antananarivo
Foley,United States,Alabama
Kuala Lipis,Malaysia,Pahang
Heusenstamm,Germany,Hesse
Baragoi,Kenya,Samburu
Manaratsandry,Madagascar,Mahajanga
Thimiri,India,Tamil Nadu
Perdoes,Brazil,Minas Gerais
Satsuma,Japan,Kagoshima
Huercal-Overa,Spain,Andalusia
Fort St. John,Canada,British Columbia
Weesp,Netherlands,Noord-Holland
Mithi,Pakistan,Sindh
Sesheke,Zambia,Western
Urucui,Brazil,Piaui
Saint-Die-des-Vosges,France,Grand Est
Naaldwijk,Netherlands,Zuid-Holland
Kfar Kidde,Lebanon,Mont-Liban
Haka,Myanmar,Sagaing
Guding,China,Guizhou
Paraibano,Brazil,Maranhao
Lancing,United Kingdom,West Sussex
Jambai,India,Tamil Nadu
Yuancun,China,Guizhou
Jiangjiehe,China,Guizhou
La Chapelle-sur-Erdre,France,Pays de la Loire
Jasidih,India,Jharkhand
Pattamadai,India,Tamil Nadu
Plaisance-du-Touch,France,Occitanie
Araruna,Brazil,Paraiba
Villabate,Italy,Sicilia
Mahaditra,Madagascar,Fianarantsoa
Sangin,Afghanistan,Helmand
Dagohoy,Philippines,Bohol
Schilde,Belgium,Flanders
Kurten,Germany,North Rhine-Westphalia
Fukagawa,Japan,HokkaidO
Udalguri,India,Assam
Clifton,United States,Colorado
Bhulwal,India,Jammu and Kashmir
Dicholi,India,Goa
Naranjos,Mexico,Veracruz
Mairi,Brazil,Bahia
'Ali Ben Sliman,Morocco,Marrakech-Safi
San Martin de la Vega,Spain,Madrid
Palm Valley,United States,Florida
Moana,Spain,Galicia
Mayfield Heights,United States,Ohio
Uetersen,Germany,Schleswig-Holstein
Nkoteng,Cameroon,Centre
Aquidaba,Brazil,Sergipe
Nesoddtangen,Norway,Viken
Berlin,United States,Connecticut
Anage,Brazil,Bahia
Siran,Turkey,Gumushane
Tolu Viejo,Colombia,Sucre
Shahpur,India,Bihar
Artik,Armenia,Shirak
Itarantim,Brazil,Bahia
Molln,Germany,Schleswig-Holstein
Ambatosoratra,Madagascar,Toamasina
Guapiacu,Brazil,Sao Paulo
Montrose,United States,Colorado
Peshtera,Bulgaria,Pazardzhik
Adel,United Kingdom,Leeds
San Marcos,Honduras,Ocotepeque
El Mansouria,Morocco,Casablanca-Settat
Faversham,United Kingdom,Kent
Issaba,Benin,Plateau
Vasiana,Madagascar,Antananarivo
Mandiavato,Madagascar,Antananarivo
Guaymango,El Salvador,Ahuachapan
Slobozia,Moldova,StInga Nistrului
Callosa de Segura,Spain,Valencia
Kwinana,Australia,Western Australia
Montgomery,United States,Illinois
Zhaodianzi,China,Hebei
Makurazaki,Japan,Kagoshima
Castillo de Teayo,Mexico,Veracruz
Cassano d'Adda,Italy,Lombardy
Ochtrup,Germany,North Rhine-Westphalia
Padre Las Casas,Dominican Republic,Valdesia
Glinde,Germany,Schleswig-Holstein
Kebemer,Senegal,Louga
Mohiuddinnagar,India,Bihar
Tsarabaria,Madagascar,Antsiranana
Shirahama,Japan,Wakayama
Westbrook,United States,Maine
Bachi-Yurt,Russia,Chechnya
Zhosaly,Kazakhstan,
Zverevo,Russia,Rostovskaya Oblast’
Silla,Spain,Valencia
Narayankher,India,Andhra Pradesh
Zwijndrecht,Belgium,Flanders
Shenandoah,United States,Louisiana
Liancourt,Haiti,Artibonite
L'Assomption,Canada,Quebec
Nejo,Ethiopia,Oromiya
Ban Tha Kham,Thailand,Surat Thani
Shakhunya,Russia,Nizhegorodskaya Oblast’
Alagir,Russia,North Ossetia
Kanekallu,India,Andhra Pradesh
Krasnohrad,Ukraine,Kharkivska Oblast
Shonai,Japan,Yamagata
Soavina Antanety,Madagascar,Antananarivo
Carmo do Cajuru,Brazil,Minas Gerais
Malabuyoc,Philippines,Cebu
Tarhzirt,Morocco,Beni Mellal-Khenifra
Altagracia,Nicaragua,Rivas
Tiruvadi,India,Tamil Nadu
Samalapuram,India,Tamil Nadu
Benicasim,Spain,Valencia
Yumbel,Chile,Biobio
Puerto Leguizamo,Colombia,Putumayo
Atlapexco,Mexico,Hidalgo
Valderrama,Philippines,Antique
Caridade,Brazil,Ceara
South Burlington,United States,Vermont
Golden,United States,Colorado
Frankfort,United States,Illinois
Nilgiri,India,Odisha
Carira,Brazil,Sergipe
Hassleholm,Sweden,Skåne
Hudson,United States,Massachusetts
La Esmeralda,Venezuela,Amazonas
Casamassima,Italy,Puglia
Rantabe,Madagascar,Toamasina
Ambalakirajy,Madagascar,Mahajanga
Canto do Buriti,Brazil,Piaui
Analapatsy,Madagascar,Toliara
Midalam,India,Tamil Nadu
Ban Tha Ton,Thailand,Chiang Mai
Mesquite,United States,Nevada
Ampasimena,Madagascar,Toliara
Trostyanets',Ukraine,Sumska Oblast
Haya,Sudan,Red Sea
Bulolo,Papua New Guinea,Morobe
Andira,Brazil,Parana
Giszowiec,Poland,Śląskie
El Arenal,Mexico,Jalisco
Jubbah,Saudi Arabia,Ha’il
Kamakhyanagar,India,Odisha
Whitehall,United States,Ohio
Zemio,Central African Republic,Haut-Mbomou
Calatayud,Spain,Aragon
Nykobing Falster,Denmark,Sjælland
East Hemet,United States,California
Cartavio,Peru,La Libertad
Emet,Turkey,Kutahya
Torokszentmiklos,Hungary,Jasz-Nagykun-Szolnok
Gebre Guracha,Ethiopia,Oromiya
Rohar,India,Bihar
Tettnang,Germany,Baden-Wurttemberg
Ennigerloh,Germany,North Rhine-Westphalia
Ceglie Messapico,Italy,Puglia
Had Zraqtane,Morocco,Marrakech-Safi
Imperial,United States,California
Usman,Russia,Lipetskaya Oblast’
North Liberty,United States,Iowa
Jhalida,India,West Bengal
Mulundo,Philippines,Lanao del Sur
Leek,Netherlands,Groningen
World Golf Village,United States,Florida
Siahkal,Iran,Gilan
Mangualde,Portugal,Viseu
Sleaford,United Kingdom,Lincolnshire
Plattsburgh,United States,New York
Wenden,Germany,North Rhine-Westphalia
Uruburetama,Brazil,Ceara
Hauppauge,United States,New York
Ait Tamlil,Morocco,Beni Mellal-Khenifra
Tomaszow Lubelski,Poland,Lubelskie
Xiaqiaotou,China,Yunnan
Coruche,Portugal,Santarem
Quatro Barras,Brazil,Parana
Olten,Switzerland,Solothurn
Bressuire,France,Nouvelle-Aquitaine
Rovato,Italy,Lombardy
El Paraiso,Honduras,Copan
Morlanwelz-Mariemont,Belgium,Wallonia
Neviges,Germany,North Rhine-Westphalia
Liuliang,China,Gansu
Salsomaggiore Terme,Italy,Emilia-Romagna
Rolla,United States,Missouri
Sao Joao Batista,Brazil,Maranhao
Doany,Madagascar,Antsiranana
San Miguel,Philippines,Zamboanga del Sur
Allanridge,South Africa,Free State
Poperinge,Belgium,Flanders
Blankenburg,Germany,Saxony-Anhalt
Pecan Grove,United States,Texas
Mathurapur,India,Bihar
Quepos,Costa Rica,Puntarenas
Ennis,United States,Texas
Aanekoski,Finland,Keski-Suomi
Gazi,Greece,Kriti
Volketswil,Switzerland,Zurich
Forest Park,United States,Ohio
Komarom,Hungary,Komarom-Esztergom
Mapai,Mozambique,Gaza
Oregon,United States,Ohio
Sand Springs,United States,Oklahoma
Poshkent,Tajikistan,Sughd
Pradopolis,Brazil,Sao Paulo
Ba,Fiji,Ba
Ozorkow,Poland,Lodzkie
Utebo,Spain,Aragon
Waldbrol,Germany,North Rhine-Westphalia
Comapa,Mexico,Veracruz
Hasanparti,India,Andhra Pradesh
Amorebieta,Spain,Basque Country
Ban Na San,Thailand,Surat Thani
Hanumana,India,Madhya Pradesh
Schmalkalden,Germany,Thuringia
Portland,United States,Texas
Eschwege,Germany,Hesse
Kittur,India,Karnataka
Major Isidoro,Brazil,Alagoas
Lebbeke,Belgium,Flanders
Yosano,Japan,KyOto
Virapandi,India,Tamil Nadu
Os,Norway,Vestland
Signa,Italy,Tuscany
Brandsen,Argentina,Buenos Aires
Nottuln,Germany,North Rhine-Westphalia
Spoltore,Italy,Abruzzo
Nizhnyaya Tura,Russia,Sverdlovskaya Oblast’
Tevaram,India,Tamil Nadu
Deblin,Poland,Lubelskie
Mokena,United States,Illinois
Shafter,United States,California
Idhna,West Bank,
Hamina,Finland,Kymenlaakso
Prunedale,United States,California
Castilho,Brazil,Sao Paulo
Santiago,Philippines,Ilocos Sur
San Miguel,Philippines,Leyte
Saint-Lazare,Canada,Quebec
Kuysinjaq,Iraq,Arbil
Port Angeles,United States,Washington
Kinston,United States,North Carolina
Chestermere,Canada,Alberta
Likak,Iran,Kohgiluyeh va Bowyer AHmad
Campamento,Honduras,Olancho
Santo Amaro da Imperatriz,Brazil,Santa Catarina
Jaggampeta,India,Andhra Pradesh
Monroe,United States,Washington
Miamisburg,United States,Ohio
El Castillo de La Concepcion,Nicaragua,Rio San Juan
Sarstedt,Germany,Lower Saxony
Cognac,France,Nouvelle-Aquitaine
Saint-Lo,France,Normandie
Nilambur,India,Tamil Nadu
Salangaippalaiyam,India,Tamil Nadu
Cajola,Guatemala,Quetzaltenango
Sinacaban,Philippines,Misamis Occidental
Carlisle,United States,Pennsylvania
Pichor,India,Madhya Pradesh
Gubakha,Russia,Permskiy Kray
Southbury,United States,Connecticut
Atarfe,Spain,Andalusia
Castellana Grotte,Italy,Puglia
Ariccia,Italy,Lazio
Kuusankoski,Finland,Kymenlaakso
Mihona,India,Madhya Pradesh
Volokolamsk,Russia,Moskovskaya Oblast’
Cantagalo,Brazil,Rio de Janeiro
Forest Park,United States,Georgia
Arcore,Italy,Lombardy
Puerto Armuelles,Panama,Chiriqui
Nosy Varika,Madagascar,Fianarantsoa
Quartier Morin,Haiti,Nord
Mustang,United States,Oklahoma
Piratini,Brazil,Rio Grande do Sul
Bhawanipur,India,Bihar
Busra ash Sham,Syria,Dar‘a
Barroso,Brazil,Minas Gerais
Ystrad Mynach,United Kingdom,Caerphilly
Echizen,Japan,Fukui
Ranbirsinghpura,India,Jammu and Kashmir
Alhandra,Brazil,Paraiba
Sil-li,North Korea,P’yongnam
Arlington,United States,Washington
Pescia,Italy,Tuscany
Coaraci,Brazil,Bahia
Nogales,United States,Arizona
Massy,Kyrgyzstan,Jalal-Abad
Howard,United States,Wisconsin
Kitatajima,Japan,Saitama
Liuguang,China,Guizhou
Broadview Heights,United States,Ohio
Masterton,New Zealand,Wellington
Maple Shade,United States,New Jersey
Huntsville,Canada,Ontario
Agryz,Russia,Tatarstan
Burghausen,Germany,Bavaria
Bierun,Poland,Śląskie
Salmon Creek,United States,Washington
Sulzbach-Rosenberg,Germany,Bavaria
Guantiankan,China,Guizhou
Lake Zurich,United States,Illinois
Corner Brook,Canada,Newfoundland and Labrador
St. John,United States,Indiana
Casa de Oro-Mount Helix,United States,California
Cekerek,Turkey,Yozgat
Ad Dir`iyah,Saudi Arabia,Ar Riyad
Zaouia Ait Ishak,Morocco,Beni Mellal-Khenifra
Dillingen,Germany,Bavaria
Paulistana,Brazil,Piaui
Tingloy,Philippines,Batangas
Mandaguacu,Brazil,Parana
Mosopa,Botswana,Southern
Grumo Nevano,Italy,Campania
Selestat,France,Grand Est
Desavilakku,India,Tamil Nadu
Nyandoma,Russia,Arkhangel’skaya Oblast’
Karcag,Hungary,Jasz-Nagykun-Szolnok
Alpinopolis,Brazil,Minas Gerais
Westminster,United States,Maryland
Mahmudabad Nemuneh,Iran,Qazvin
Simonesia,Brazil,Minas Gerais
Pichidegua,Chile,Libertador General Bernardo O’Higgins
Jnane Bouih,Morocco,Marrakech-Safi
Mickleover,United Kingdom,Derby
Karuizawa,Japan,Gunma
Asasa,Ethiopia,Oromiya
Katangi,India,Madhya Pradesh
Arbaoun,Algeria,Setif
Enkhuizen,Netherlands,Noord-Holland
Calvillo,Mexico,Aguascalientes
Menzel Abderhaman,Tunisia,Bizerte
Carate Brianza,Italy,Lombardy
Itatinga,Brazil,Sao Paulo
Brie-Comte-Robert,France,Ile-de-France
Lower Allen,United States,Pennsylvania
Lakhna,India,Bihar
Moosburg,Germany,Bavaria
Narsapur,India,Andhra Pradesh
Marsberg,Germany,North Rhine-Westphalia
Trzebinia,Poland,Małopolskie
Punjai Puliyampatti,India,Tamil Nadu
Casalgrande,Italy,Emilia-Romagna
Culpeper,United States,Virginia
Tradate,Italy,Lombardy
Regente Feijo,Brazil,Sao Paulo
Wanluan,Taiwan,Pingtung
Borna,Germany,Saxony
Varpalota,Hungary,Veszprem
Rio Segundo,Argentina,Cordoba
Wittlich,Germany,Rhineland-Palatinate
Vazante,Brazil,Minas Gerais
Oschersleben,Germany,Saxony-Anhalt
Hongshui,China,Gansu
Taketa,Japan,Oita
Andaingo Gara,Madagascar,Toamasina
Ayyampettai,India,Tamil Nadu
Luenoufla,Cote d'Ivoire,Sassandra-Marahoue
Rybnoye,Russia,Ryazanskaya Oblast’
Suarez,Colombia,Cauca
Tash-Komur,Kyrgyzstan,Jalal-Abad
Polonuevo,Colombia,Atlantico
Colotlan,Mexico,Jalisco
Homewood,United States,Illinois
Meise,Belgium,Flanders
Eupen,Belgium,Wallonia
Talwandi Bhai,India,Punjab
Babanusah,Sudan,West Kordofan
Stroud,United States,Pennsylvania
Kufstein,Austria,Tirol
Shelbyville,United States,Indiana
Comodoro,Brazil,Mato Grosso
Chopinzinho,Brazil,Parana
Puerto El Triunfo,El Salvador,Usulutan
Doujing,China,Guizhou
Lackawanna,United States,New York
Lieto,Finland,Varsinais-Suomi
Ban Bueng,Thailand,Chon Buri
Cirie,Italy,Piedmont
Santa Teresita,Philippines,Cagayan
Rhar el Melah,Tunisia,Bizerte
Urumita,Colombia,La Guajira
Anguillara Sabazia,Italy,Lazio
Naklo nad Notecia,Poland,Kujawsko-Pomorskie
Englewood,United States,Florida
Bad Tolz,Germany,Bavaria
Dharmsala,India,Himachal Pradesh
Universal City,United States,Texas
Ziar nad Hronom,Slovakia,Banska Bystrica
Sarsawa,India,Uttar Pradesh
Oulad Salmane,Morocco,Rabat-Sale-Kenitra
Jakobstad,Finland,Pohjanmaa
Porto Grande,Brazil,Amapa
Yuanhucun,China,Xinjiang
Someren,Netherlands,Noord-Brabant
Gilching,Germany,Bavaria
Cabusao,Philippines,Camarines Sur
Mayen,Germany,Rhineland-Palatinate
Riverview,Canada,New Brunswick
Konstantynow Lodzki,Poland,Lodzkie
Duragan,Turkey,Sinop
Arbutus,United States,Maryland
Holden,United States,Massachusetts
Tirthahalli,India,Karnataka
Lajinha,Brazil,Minas Gerais
Majhua,India,Bihar
Barreira,Brazil,Ceara
Tirmitine,Algeria,Tizi Ouzou
Yahotyn,Ukraine,Kyivska Oblast
Capoeiras,Brazil,Pernambuco
Ait Bousarane,Morocco,Beni Mellal-Khenifra
Andrychow,Poland,Małopolskie
Hushihacun,China,Hebei
Kopa,India,Bihar
Weil der Stadt,Germany,Baden-Wurttemberg
Waxhaw,United States,North Carolina
Prichard,United States,Alabama
Lloydminster,Canada,Alberta
Pugo,Philippines,La Union
Alamo,United States,Texas
Gunri,India,Bihar
Venadillo,Colombia,Tolima
Rizal,Philippines,Kalinga
West Mifflin,United States,Pennsylvania
Keszthely,Hungary,Zala
Indargarh,India,Madhya Pradesh
Jagalur,India,Karnataka
Eersel,Netherlands,Noord-Brabant
Kasba Maker,India,Bihar
Manjathala,India,Tamil Nadu
Malacky,Slovakia,Bratislava
Kalghatgi,India,Karnataka
Rawah,Iraq,Al Anbar
Ranst,Belgium,Flanders
Alzey,Germany,Rhineland-Palatinate
Middelkerke,Belgium,Flanders
Monte Alegre de Minas,Brazil,Minas Gerais
Cherepanovo,Russia,Novosibirskaya Oblast’
Okhmalynka,Ukraine,Odeska Oblast
Nanuet,United States,New York
Utinga,Brazil,Bahia
Sint-Gillis-Waas,Belgium,Flanders
Sparta,United States,New Jersey
Joliette,Canada,Quebec
Mogiyon,Tajikistan,Sughd
Staveley,United Kingdom,Derbyshire
Tublay,Philippines,Benguet
Ban Thap Kwang,Thailand,Saraburi
Midway,United States,Florida
Atasu,Kazakhstan,
Buckeburg,Germany,Lower Saxony
Lodhwe,India,Bihar
Tolentino,Italy,Marche
Hechingen,Germany,Baden-Wurttemberg
Diinsoor,Somalia,Bay
Ansermanuevo,Colombia,Valle del Cauca
Roznava,Slovakia,Košice
Khamaria,India,Madhya Pradesh
Dachepalle,India,Andhra Pradesh
Crespo,Argentina,Entre Rios
Adria,Italy,Veneto
Palera,India,Madhya Pradesh
Riom,France,Auvergne-Rhone-Alpes
Kolbermoor,Germany,Bavaria
Diepenbeek,Belgium,Flanders
Nocatee,United States,Florida
Xapuri,Brazil,Acre
Yershov,Russia,Saratovskaya Oblast’
Engelskirchen,Germany,North Rhine-Westphalia
Heinola,Finland,Päijät-Häme
Capela do Alto,Brazil,Sao Paulo
Meerssen,Netherlands,Limburg
Bad Pyrmont,Germany,Lower Saxony
Bad Aibling,Germany,Bavaria
El Arahal,Spain,Andalusia
Hemmingen,Germany,Lower Saxony
Caraubas,Brazil,Rio Grande do Norte
Pidhorodne,Ukraine,Dnipropetrovska Oblast
Candelaria,Cuba,Artemisa
Acigol,Turkey,Nevsehir
Jasien,Poland,Pomorskie
Sokolow Podlaski,Poland,Mazowieckie
Jajarm,Iran,Khorasan-e Shomali
Pastrana,Philippines,Leyte
Rhede,Germany,North Rhine-Westphalia
Aysha,Ethiopia,Sumale
Garot,India,Madhya Pradesh
Ituzaingo,Argentina,Corrientes
Buruanga,Philippines,Aklan
Meadowbrook,United States,Virginia
Stowmarket,United Kingdom,Suffolk
Hoxut,China,Xinjiang
Puerto Morelos,Mexico,Quintana Roo
Altamont,United States,Oregon
Yellowknife,Canada,Northwest Territories
Ibicoara,Brazil,Bahia
Arvin,United States,California
Essen,Belgium,Flanders
Monkseaton,United Kingdom,North Tyneside
Otsego,United States,Minnesota
Fukusaki,Japan,HyOgo
Xihuangcun,China,Hebei
Sao Joao do Piaui,Brazil,Piaui
Haiger,Germany,Hesse
Tole Bi,Kazakhstan,
Sao Gabriel,Brazil,Bahia
Waterford,United States,Connecticut
Siruma,Philippines,Camarines Sur
Hunters Creek,United States,Florida
Bagaces,Costa Rica,Guanacaste
Rolante,Brazil,Rio Grande do Sul
Valle Vista,United States,California
Thamaga,Botswana,Kweneng
Terek,Russia,Kabardino-Balkariya
Aradippou,Cyprus,Larnaka
Beloyarskiy,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra
Ashland,United States,Ohio
Ibigawa,Japan,Gifu
Grafton,United States,Massachusetts
West Whiteland,United States,Pennsylvania
Babai,India,Madhya Pradesh
Sjobo,Sweden,Skåne
Bruz,France,Bretagne
Madisonville,United States,Kentucky
Cervantes,Philippines,Ilocos Sur
Seesen,Germany,Lower Saxony
Kumarapuram,India,Tamil Nadu
Valavanur,India,Tamil Nadu
Radeberg,Germany,Saxony
Mullheim,Germany,Baden-Wurttemberg
Stevenson Ranch,United States,California
Somandepalle,India,Andhra Pradesh
Rio Verde de Mato Grosso,Brazil,Mato Grosso do Sul
Capinota,Bolivia,Cochabamba
Yusufeli,Turkey,Artvin
Sirvar,India,Karnataka
Bad Berleburg,Germany,North Rhine-Westphalia
Squamish,Canada,British Columbia
Kempston,United Kingdom,Bedford
Pultusk,Poland,Mazowieckie
Warrensburg,United States,Missouri
Jesus Maria,Mexico,Jalisco
Teminabuan,Indonesia,Papua Barat
Traiskirchen,Austria,Niederösterreich
Erlanger,United States,Kentucky
Espiritu,Philippines,Ilocos Norte
Marihatag,Philippines,Surigao del Sur
Chinna Ganjam,India,Andhra Pradesh
Regensdorf,Switzerland,Zurich
Whitemarsh,United States,Pennsylvania
Hurricane,United States,Utah
Puranpur,India,Uttar Pradesh
Heishanzuicun,China,Hebei
Los Alamos,Chile,Biobio
Alcoy,Philippines,Cebu
Buzim,Bosnia and Herzegovina,"Bosnia and Herzegovina, Federation of"
Orinda,United States,California
Holtsville,United States,New York
Sorada,India,Odisha
La Nucia,Spain,Valencia
Ardon,Russia,North Ossetia
Hoveyzeh,Iran,Khuzestan
Magitang,China,Qinghai
Echt,Netherlands,Limburg
Gogogogo,Madagascar,Toliara
Palamos,Spain,Catalonia
Godo,Japan,Gifu
Jiabong,Philippines,Samar
Yandrapalle,India,Andhra Pradesh
Kantharalak,Thailand,Si Sa Ket
Heishuikeng,China,Shaanxi
Yumurtalik,Turkey,Adana
Ramsbottom,United Kingdom,Bury
Tadian,Philippines,Mountain
East Dereham,United Kingdom,Norfolk
Lancut,Poland,Podkarpackie
Kaveripatnam,India,Tamil Nadu
Douar Ait Sidi Daoud,Morocco,Marrakech-Safi
Vila Real de Santo Antonio,Portugal,Faro
Kushiro,Japan,HokkaidO
Binka,India,Odisha
Vellmar,Germany,Hesse
Pozzallo,Italy,Sicilia
Lodeynoye Pole,Russia,Leningradskaya Oblast’
Sipoo,Finland,Uusimaa
Sorgues,France,Provence-Alpes-Cote d’Azur
Time,Norway,Rogaland
Schwalmtal,Germany,North Rhine-Westphalia
Dhansaria,India,Jharkhand
Wervik,Belgium,Flanders
Royan,France,Nouvelle-Aquitaine
Ban Fang Tuen,Thailand,Chiang Rai
Lake Forest,United States,Illinois
Onga,Japan,Fukuoka
Fecamp,France,Normandie
Riviere-du-Loup,Canada,Quebec
Pariquera-Acu,Brazil,Sao Paulo
Peruru,India,Andhra Pradesh
Quixere,Brazil,Ceara
Albolote,Spain,Andalusia
Tirunageswaram,India,Tamil Nadu
Salgado,Brazil,Sergipe
Chiari,Italy,Lombardy
Dashtigulho,Tajikistan,Khatlon
Starodub,Russia,Bryanskaya Oblast’
Siralkoppa,India,Karnataka
Cobourg,Canada,Ontario
Druten,Netherlands,Gelderland
La Paz,Philippines,Leyte
Paraisopolis,Brazil,Minas Gerais
East St. Louis,United States,Illinois
Dalanzadgad,Mongolia,Ömnögovi
San Antonio Huista,Guatemala,Huehuetenango
Tangbian,China,Guizhou
Holalkere,India,Karnataka
Mino,Japan,Gifu
Srikhanda,India,West Bengal
Barhampur,India,Bihar
Narapala,India,Andhra Pradesh
Lynn Haven,United States,Florida
Koropi,Greece,Attiki
Vence,France,Provence-Alpes-Cote d’Azur
Riachao do Dantas,Brazil,Sergipe
Ituacu,Brazil,Bahia
Kapangan,Philippines,Benguet
Scorze,Italy,Veneto
Purushottampur,India,Odisha
Mingjiujie,China,Yunnan
Angleton,United States,Texas
Frutillar Alto,Chile,Los Lagos
Izra,Syria,Dar‘a
Krasnystaw,Poland,Lubelskie
Rayevskiy,Russia,Bashkortostan
Cabildo,Chile,Valparaiso
Kamiichi,Japan,Toyama
Wassenberg,Germany,North Rhine-Westphalia
Tajerouine,Tunisia,Kef
Cocos,Brazil,Bahia
Motru,Romania,Gorj
Makronia,India,Madhya Pradesh
Stabroek,Belgium,Flanders
Montemurlo,Italy,Tuscany
Halstenbek,Germany,Schleswig-Holstein
Lake Shore,United States,Maryland
Badkulla,India,West Bengal
Juquia,Brazil,Sao Paulo
Balta,Ukraine,Odeska Oblast
Ambatomirahavavy,Madagascar,Antananarivo
San Vito dei Normanni,Italy,Puglia
Pauini,Brazil,Amazonas
Chilkuru,India,Andhra Pradesh
Monte Azul Paulista,Brazil,Sao Paulo
Sukhsena,India,Bihar
Paranapanema,Brazil,Sao Paulo
Iiyama,Japan,Nagano
Brigham City,United States,Utah
Mukaiengaru,Japan,HokkaidO
Pfullingen,Germany,Baden-Wurttemberg
Chautapal,India,Andhra Pradesh
Buerarema,Brazil,Bahia
Haldensleben,Germany,Saxony-Anhalt
Marchena,Spain,Andalusia
Bagahi,India,Bihar
Krasnogorskiy,Uzbekistan,Toshkent
Hardinxveld-Giessendam,Netherlands,Zuid-Holland
Burscheid,Germany,North Rhine-Westphalia
Raita,India,Himachal Pradesh
Khonj,Iran,Fars
Bracciano,Italy,Lazio
Bergneustadt,Germany,North Rhine-Westphalia
Tibagi,Brazil,Parana
Narni,Italy,Umbria
Almel,India,Karnataka
Sebt Gzoula,Morocco,Marrakech-Safi
Lexington,United States,North Carolina
Syosset,United States,New York
Venceslau Bras,Brazil,Parana
Hidrolandia,Brazil,Ceara
Altoona,United States,Iowa
Diadi,Philippines,Nueva Vizcaya
Guru Har Sahai,India,Punjab
Texcaltitlan,Mexico,Mexico
Liberal,United States,Kansas
Athar,India,Bihar
Aci Sant'Antonio,Italy,Sicilia
Zerong,China,Guizhou
Chaita,India,Bihar
Haslett,United States,Michigan
Kanp,India,Bihar
Abomsa,Ethiopia,Oromiya
Taka,Japan,HyOgo
Campina Verde,Brazil,Minas Gerais
Bouanri,Benin,Borgou
Orange,United States,Texas
Korsholm,Finland,Pohjanmaa
Horseheads,United States,New York
Khetia,India,Maharashtra
Ban Mae Hia Nai,Thailand,Chiang Mai
Moncao,Portugal,Viana do Castelo
Sidi Redouane,Morocco,Tanger-Tetouan-Al Hoceima
Tapejara,Brazil,Rio Grande do Sul
Kirovgrad,Russia,Sverdlovskaya Oblast’
Soure,Portugal,Coimbra
Koppal,India,Karnataka
Lebedyan,Russia,Lipetskaya Oblast’
Kralupy nad Vltavou,Czechia,Středočeský Kraj
Mancio Lima,Brazil,Acre
Horizontina,Brazil,Rio Grande do Sul
Cutlerville,United States,Michigan
Agliana,Italy,Tuscany
Schkeuditz,Germany,Saxony
Kronberg,Germany,Hesse
Santa Marinella,Italy,Lazio
Dumri,India,Bihar
Qandala,Somalia,Bari
Atok,Philippines,Benguet
Ban Mae Kha Tai,Thailand,Chiang Mai
Henichesk,Ukraine,Khersonska Oblast
Dolynska,Ukraine,Kirovohradska Oblast
Marechal Taumaturgo,Brazil,Acre
Bakal,Russia,Chelyabinskaya Oblast’
Groesbeek,Netherlands,Gelderland
Sogut,Turkey,Bilecik
Lebach,Germany,Saarland
Mohana,India,Madhya Pradesh
Shahgarh,India,Madhya Pradesh
Vohimasy,Madagascar,Fianarantsoa
Siroda,India,Goa
Corbetta,Italy,Lombardy
Paharpur,India,Bihar
Tsumeb,Namibia,Oshikoto
